filename,author,creation,modification,error
6376 Bis.pdf,Microsoft Office User,2023-10-21T20:22:07 -03'00',2023-10-21T20:22:07 -03'00',
Tribuna de Disciplina 6543 BIS.pdf,Microsoft Office User,2024-08-27T17:03:12 -03'00',2024-08-27T17:03:12 -03'00',
Tribuna de Disciplina 6543 BIS_1.pdf,Microsoft Office User,2024-08-27T17:03:12 -03'00',2024-08-27T17:03:12 -03'00',
Tribunal de Disciplina 6365 Bis.pdf,Microsoft Office User,2023-09-22T21:57:42 -03'00',2023-09-22T21:57:42 -03'00',
Tribunal de Disciplina 6368 Bis.pdf,Microsoft Office User,2023-10-03T20:02:50 -03'00',2023-10-03T20:02:50 -03'00',
Tribunal de Disciplina 6371.pdf,Microsoft Office User,2023-10-05T21:53:35 -03'00',2023-10-05T21:53:35 -03'00',
Tribunal de Disciplina 6373 Bis II.pdf,Microsoft Office User,2023-10-17T19:42:41 -03'00',2023-10-17T19:42:41 -03'00',
Tribunal de Disciplina 6380 Bis.pdf,,2023-10-29T23:47:24 Z00'00',2023-10-29T23:47:24 Z00'00',
Tribunal de Disciplina 6384 bis.pdf,Microsoft Office User,2023-11-07T17:58:40 -03'00',2023-11-07T17:58:40 -03'00',
Tribunal de Disciplina 6384.pdf,Microsoft Office User,2023-11-02T21:52:09 -03'00',2023-11-02T21:52:09 -03'00',
Tribunal de Disciplina 6387.pdf,Microsoft Office User,2023-11-09T20:43:33 -03'00',2023-11-09T20:43:33 -03'00',
Tribunal de Disciplina 6389 BIS.pdf,Microsoft Office User,2023-11-16T15:51:46 -03'00',2023-11-16T15:51:46 -03'00',
Tribunal de Disciplina 6389 BIS_1.pdf,Microsoft Office User,2023-11-16T15:51:46 -03'00',2023-11-16T15:51:46 -03'00',
Tribunal de Disciplina 6389.pdf,Microsoft Office User,2023-11-14T20:47:06 -03'00',2023-11-14T20:47:06 -03'00',
Tribunal de Disciplina 6392 BIS.pdf,Microsoft Office User,2023-11-28T22:20:54 +00'00',2023-11-28T22:20:54 Z,
Tribunal de Disciplina 6392.pdf,Microsoft Office User,2023-11-22T21:26:51 -03'00',2023-11-22T21:26:51 -03'00',
Tribunal de Disciplina 6396.pdf,Walter Hope,2023-11-30T21:12:29 -03'00',2023-11-30T21:12:33 -03'00',
Tribunal de Disciplina 6399 BIS.pdf,Microsoft Office User,2023-12-12T17:03:47 -03'00',2023-12-12T17:03:47 -03'00',
Tribunal de Disciplina 6399 BIS_1.pdf,Microsoft Office User,2023-12-12T17:03:47 -03'00',2023-12-12T17:03:47 -03'00',
Tribunal de Disciplina 6399.pdf,Microsoft Office User,2023-12-05T19:01:31 -03'00',2023-12-05T19:01:31 -03'00',
